,Skill: (American Society For Quality) ASQ Certified,Skill: .NET Assemblies,Skill: .NET Development,Skill: .NET Framework,Skill: .NET Framework 1,Skill: .NET Framework 3,Skill: .NET Framework 4,Skill: 12 Volt Electricity,Skill: 1Password,Skill: 2020 Design Software,Skill: 2D Computer Graphics,Skill: 2D Computer-Aided Drafting And Design,Skill: 35 Mm Films,Skill: 389 Directory Server (Fedora Project),Skill: 3CX Phone Systems,Skill: 3D Animation,Skill: 3D Art,Skill: 3D Computer Graphics,Skill: 3D Graphic Design,Skill: 3D Modeling Software,Skill: 3D Reconstruction,Skill: 3D Rendering,Skill: 3D Scanning,Skill: 3D Visualization,Skill: 3GPP (Telecommunication),Skill: 3GPP2 (Telecommunication),Skill: 3M Codefinder,Skill: 3M Encoder,Skill: 401K Plan Administration,Skill: 4D Modeling (Construction),Skill: 529 College Savings Planning,Skill: 5G Technology,Skill: 5S Methodology,Skill: 64bit,Skill: 6LoWPAN,Skill: 7-Zip,Skill: A3 Problem Solving Techniques,Skill: AAA Server (Authentication Authorization And Accounting),Skill: AAA Video Games,Skill: ABR Routers,Skill: AC Power Plugs And Sockets,Skill: AC/DC Converters,Skill: AC/DC Power,Skill: ACI Concrete Field Testing Technician,Skill: ACI Concrete Strength Testing Technician,Skill: ACID Pro,Skill: ADABAS,Skill: ADHD Tutoring,Skill: ADO.NET (Programming Language),Skill: ADP Enterprise,Skill: ADP PCPW,Skill: ADP Pay eXpert,Skill: ADP PayForce,Skill: ADP Payroll,Skill: ADP Reporting,Skill: ADP SmartCompliance,Skill: ADP Vantage,Skill: ADP Workforce Now,Skill: ADT Security Services,Skill: AERMOD,Skill: AFNetworking,Skill: AGi32,Skill: AHIMA Standards Of Ethical Coding,Skill: AIRS Certified Diversity Recruiter (CDR),Skill: AISC 360 Specification For Structural Steel Buildings,Skill: ALGOL (ALGOrithmic Language),Skill: ALM Octane,Skill: AMPScript,Skill: AMS Device Management,Skill: AMT Asset Management Software,Skill: AMX Programming,Skill: ANCC Certified,Skill: ANSI Escape Codes (Computer Standards),Skill: ANSI/ANS Standards,Skill: ANSI/TIA/EIA,Skill: ANSYS IcePak (Simulation Software),Skill: ANSYS Meshing,Skill: ANTLR,Skill: AP Stylebook,Skill: APA Ethics Code,Skill: API Oil-Water Separator,Skill: API Throttling,Skill: APICS Certified Supply Chain Professional,Skill: APL (Programming Language),Skill: ARCore,Skill: ARINC Standards,Skill: ARKit,Skill: ARM Architecture Microprocessors,Skill: ARP4754,Skill: ARP4761,Skill: AS2,Skill: ASC 606 (Revenue Recognition),Skill: ASC 842 (Lease Accounting Standard)
2022-03-01,0.0003606335361138291,1.2141075240449748e-05,1.3233184037143217e-05,0.0034348588046041947,1.725432963689149e-08,6.665962839487927e-06,1.7447791372881337e-05,8.651082689531007e-05,6.2572728964436235e-06,3.700838104690887e-05,1.1976554483850658e-05,4.5706631675297226e-05,4.085950341952978e-06,-3.421460596507702e-09,1.213422566203883e-06,4.201581217225941e-05,3.760882487793596e-05,4.352773602986589e-05,2.346121959089394e-06,0.00014640779534506662,3.6079032733361282e-06,6.725176948793069e-05,3.216393025046797e-05,2.3593102122007953e-06,0.00014467331131438085,8.296392981033233e-06,1.1763874548051357e-05,2.226784057259432e-05,3.958752732898447e-06,6.621724687729512e-07,2.881931467924528e-06,0.0005733902668529882,9.206436945658709e-05,2.8287822258945965e-05,9.735029258743233e-07,1.355119003096013e-06,6.062086904169082e-07,6.270307234470572e-05,1.9396949160627928e-05,4.402625277139772e-06,4.4470396929146086e-05,4.896622204357024e-06,5.477565015568263e-05,1.815078381025167e-06,1.238104904347759e-06,-2.901616034076347e-08,9.979155213524429e-06,-2.33848814151553e-08,0.0005382634926910517,9.634180705803263e-05,1.337531516910557e-06,1.2722849232012198e-06,3.0992153776312815e-06,0.00016176681672468727,3.405498384953211e-05,1.571837098382172e-05,4.632447026856406e-05,0.00046049301422489245,9.648478940839031e-06,1.3726747730549062e-06,7.584113081348416e-06,1.0593681507842515e-05,5.69290793497601e-05,4.3899676909335273e-05,5.919482068840489e-07,1.9115450256579487e-09,-3.612821305803472e-07,0.00011648055825639644,1.4110533435629645e-06,0.0004506149542168491,5.731082808809327e-06,0.00029591932348701176,1.219583316410233e-05,7.0609195963157645e-06,2.577572300241486e-06,1.208881391306063e-05,0.0001243840015871336,3.637613458114458e-06,0.0005717750338956378,2.371146781798918e-06,1.544073533664111e-06,3.794128144613116e-05,0.0002456517107671102,9.752084613776874e-06,4.299336680830165e-06,5.517224705307087e-06,1.0639385220139015e-05,-8.943898107090797e-09,1.602333122270032e-06,4.621373169281078e-06,0.00012256177660517913,0.0003147727266479252,0.00013079436675661566
2022-04-01,0.0003573491459588619,1.216790594793156e-05,1.4044346682379171e-05,0.0035365825023350467,3.8117503017522605e-08,7.418525431807205e-06,1.4642467342459136e-05,8.20630680265055e-05,7.3672582532701635e-06,3.490945024817405e-05,1.2763670738710634e-05,4.4858927527981405e-05,2.8133248742782898e-06,-3.6259456776226445e-09,1.1551464690333346e-06,3.87554133249754e-05,3.724022757698258e-05,4.1877898778261775e-05,3.118954594977515e-06,0.0001512481331235221,3.7840291657973065e-06,6.508746884855153e-05,3.285635869782413e-05,1.8486755940130642e-06,0.00016006549968986073,7.78117453968483e-06,1.4134996575405073e-05,2.4804628919940454e-05,4.030516107285748e-06,6.422698516582682e-07,2.5721152815873472e-06,0.0005895536975048244,8.98505835744787e-05,2.4790461924969414e-05,8.613930731946565e-07,1.426937623155126e-06,5.772819113717044e-07,7.108528050094622e-05,2.2426416517801737e-05,6.353983213393482e-06,4.185546268454655e-05,5.771979938932389e-06,5.673322135441925e-05,1.8023882480982844e-06,1.2353047463695979e-06,-6.569648709138645e-08,1.0101205437113763e-05,-5.19418231403587e-08,0.0005687021033699109,9.963906175132699e-05,1.3963747965333876e-06,1.2585980695837999e-06,2.968367102433724e-06,0.00016349676444255885,3.511660510750078e-05,1.579631697234687e-05,5.093327592783873e-05,0.00046860232735861524,1.0914605477081617e-05,9.519871056719543e-07,8.385056771800304e-06,1.0237516173594664e-05,5.929521521967709e-05,5.8776540555531246e-05,5.271592466345558e-07,1.5563131282829303e-09,-1.082279574932216e-06,0.0001227617608498937,1.1997714179671248e-06,0.0004584019430576415,6.001666603444465e-06,0.0002928063716185241,1.149643334150446e-05,7.286638823803692e-06,1.2252329015352507e-06,1.4641456490789987e-05,0.00013188125133679597,4.678420387963911e-06,0.0005861730804846599,-3.9145576973950163e-07,1.5577040545328096e-06,3.767807724604466e-05,0.0002307410282889518,9.313788637420788e-06,2.6084282650730547e-06,5.59846433513181e-06,1.0399572080105123e-05,-2.8310865732113514e-08,1.6985687945823758e-06,4.814884386237537e-06,0.00012622801257544585,0.00032176047579770775,0.00012780843647488174
2022-05-01,0.00035348511437178977,1.2181856322835131e-05,1.4800521529949634e-05,0.0036390742674832673,5.8682755057678915e-08,8.23272317344116e-06,1.0551805853407903e-05,7.718082613787927e-05,8.339204176114644e-06,3.260514593382022e-05,1.3912845049834551e-05,4.407587835932296e-05,1.4569555663649227e-06,-2.38796315413072e-09,1.0842340607424642e-06,3.5308574967013014e-05,3.69798694752262e-05,4.014222331455416e-05,3.909920487105537e-06,0.00016230619834164934,3.920604151188808e-06,6.265852826256178e-05,3.353033305256865e-05,1.2920184920282446e-06,0.00017618251668291028,7.303376499644501e-06,1.6533767154385467e-05,2.724049630942132e-05,3.793231610536894e-06,6.257233401254444e-07,2.1999592331267906e-06,0.000605903655518685,8.758029621287457e-05,2.113907781244914e-05,7.463720847642403e-07,1.522879411706508e-06,5.450968815051409e-07,7.937208036974759e-05,2.5464647009007994e-05,8.382782944473998e-06,3.9399207148899786e-05,6.7206023252628304e-06,5.8745492637388715e-05,1.8132612341564178e-06,1.2600888727739616e-06,-9.621460289832715e-08,1.0218679661089319e-05,-8.07850142235823e-08,0.0005959431060122407,0.00010298222471827559,1.4591344803854837e-06,1.2473691554347032e-06,2.9330413332358004e-06,0.0001720472561783763,3.62158874782981e-05,1.5921701131450562e-05,5.569265105866074e-05,0.0004768928926533157,1.2183164914025298e-05,6.131645402741607e-07,9.154813704590994e-06,9.783219922560675e-06,5.854781253536966e-05,6.84207119316363e-05,4.80656536420041e-07,-1.2451631640631123e-09,-1.8129956591270175e-06,0.00013034988955780094,9.79284376396174e-07,0.0004663989533555106,6.231687798355712e-06,0.0002894191357721166,1.0729681387903063e-05,7.572097193811277e-06,-2.9268364597098313e-07,1.7192722963586706e-05,0.00013952055698554123,5.712733280185003e-06,0.0006007566223545548,-3.201968566334079e-06,1.5504970492311697e-06,3.715235430608627e-05,0.0002156341030997326,8.746213534429785e-06,8.47066283812965e-07,5.593640574617381e-06,1.012424866148315e-05,-5.843966664723975e-08,1.8209420857353833e-06,4.9714165775683556e-06,0.0001302550306644194,0.00032690800074614994,0.0001249866611157653
2022-06-01,0.0003489649326215283,1.2177648514810946e-05,1.5581940706788886e-05,0.0037420840469523527,7.917675253078162e-08,9.100460909484989e-06,6.572023169335436e-06,7.184980626404905e-05,9.276504512629841e-06,3.045049977444271e-05,1.5070327338114349e-05,4.333770333481404e-05,6.165384906189223e-08,-7.511158395203366e-10,1.000925525136685e-06,3.1669882792021014e-05,3.687505193858393e-05,3.831328613282558e-05,4.720686928964559e-06,0.00017151715673180428,4.015604456622273e-06,6.0437078943422496e-05,3.4178296339516636e-05,7.058057002338336e-07,0.00019286543941568146,6.851424243599712e-06,1.8975828010327106e-05,2.966047681123497e-05,3.565250435909324e-06,6.081676327159769e-07,1.7945826872846096e-06,0.000622468856461403,8.521653893481495e-05,1.733712325213893e-05,6.279817043440198e-07,1.6508570083828407e-06,5.109924259092185e-07,8.785597997746027e-05,2.856237983001095e-05,1.0463699957916653e-05,3.702548498614792e-05,7.7352563370967e-06,6.086918076561042e-05,1.8585254418200847e-06,1.316654701101612e-06,-1.2272500763391857e-07,1.0333859329818383e-05,-1.0967516097008204e-07,0.0006234565704119289,0.00010637201874543644,1.5246069077507951e-06,1.2374253733182938e-06,2.9613341364333515e-06,0.00018216870485923044,3.730778211085652e-05,1.604266517007388e-05,6.060059916611037e-05,0.0004852570427859601,1.3468874587708692e-05,3.0453452867928665e-07,9.963383922906261e-06,9.255455303519796e-06,6.02653918298901e-05,6.788320475645571e-05,4.4181840792943693e-07,-5.8999216714931555e-09,-2.567006986083829e-06,0.00013817299306957822,7.531085602585333e-07,0.00047255509441106376,6.4337086143675835e-06,0.00028474812297038526,9.923969794758545e-06,7.873599147756388e-06,-1.8846722841198727e-06,1.9775556053450768e-05,0.0001472889281738926,6.770828023936882e-06,0.0006154396928498712,-6.0846836297020465e-06,1.5233430372161597e-06,3.660834952129099e-05,0.00020044512116993958,8.258647696941624e-06,-9.786571180952151e-07,5.505969398276499e-06,9.813666743116024e-06,-9.940835498957472e-08,1.892222683013826e-06,5.100991612802746e-06,0.0001337883875956109,0.00033064057907124684,0.00012219542845667134
2022-07-01,0.0003437959254466597,1.2167981485651062e-05,1.6395505204746508e-05,0.0038456651567403202,9.992641276182461e-08,1.0019539254973673e-05,3.86012172208228e-06,6.63134502682631e-05,1.0282963097487153e-05,2.8394552855391e-05,1.554139906264653e-05,4.2638254898670395e-05,-1.3506387505274436e-06,1.0923737304026664e-09,9.056470167682555e-07,2.78310664236945e-05,3.6870575075714294e-05,3.639240470158515e-05,5.552967505102359e-06,0.0001862770863497921,4.068932194269965e-06,5.872662178827089e-05,3.480024114272854e-05,9.313481030236987e-08,0.00021005580228675475,6.422368832280078e-06,2.1475952032019768e-05,3.209678162484562e-05,3.461195158370867e-06,5.910227132001904e-07,1.381389504413577e-06,0.0006392605709238834,8.275257051647774e-05,1.3384848173050694e-05,5.06147760732335e-07,1.8203087614934033e-06,4.7539527544420043e-07,9.67388100708839e-05,3.1729287281713996e-05,1.2595340856937468e-05,3.469472115483724e-05,8.811224163521384e-06,6.310671044205798e-05,1.9417007575611933e-06,1.4068246250843057e-06,-1.491943626723501e-07,1.0447019360582394e-05,-1.3906048919552234e-07,0.0006538014247818481,0.0001098245152806921,1.5925707198319098e-06,1.2287773096063207e-06,3.024844550310858e-06,0.00019128438628694057,3.838384654078853e-05,1.6163021273058647e-05,6.569589194796362e-05,0.0004937107468007202,1.4784010653460733e-05,6.582653405424418e-09,1.0832270488985367e-05,8.659238013101744e-06,6.338624066717553e-05,5.965653083605994e-05,3.9777506905967915e-07,-1.2143742884856103e-08,-3.3424880431149624e-06,0.0001459383981665275,5.215544744376643e-07,0.0004767756365070505,6.628770177465198e-06,0.0002803652971402315,9.079737131824634e-06,8.181423935942512e-06,-3.4986973242577734e-06,2.2398367015385922e-05,0.000155180730955165,7.863993607700646e-06,0.0006301618839676046,-9.051639314273052e-06,1.4774372238036378e-06,3.601594023394359e-05,0.0001850967664668257,7.856007189497132e-06,-2.8674088842192514e-06,5.3362555759546455e-06,9.46747655825109e-06,-1.5123491680663274e-07,1.7677270356455915e-06,5.208805119433556e-06,0.00013647387354923232,0.0003346802551275546,0.0001194936660439313
2022-08-01,0.0003379856415108201,1.2148609270819155e-05,1.7232517151633495e-05,0.0039498598548053255,1.2097900813837264e-07,1.0989577129128692e-05,2.8597508816156957e-06,6.061239170599045e-05,1.136372558783046e-05,2.6330447819340672e-05,1.5841379995164342e-05,4.197552684217905e-05,-2.7856161948115924e-06,3.174880350926886e-09,7.985574593733789e-07,2.378913934486843e-05,3.6940369472569424e-05,3.437989427886913e-05,6.407416350995643e-06,0.00019851410093805962,4.080734572238722e-06,5.675300358143636e-05,3.539648950032942e-05,-5.484659787628611e-07,0.00022775569488968668,6.016488279197665e-06,2.402997481037721e-05,3.455884321889518e-05,3.2796497959156932e-06,5.750018339838512e-07,9.578106004384766e-07,0.0006562852162911141,8.018742527648495e-05,9.282176665019988e-06,3.808807849332126e-07,2.0349518033296828e-06,4.38441462238969e-07,0.00010599959444715105,3.4962491557672016e-05,1.4776637551459989e-05,3.2407924199409775e-05,9.94609870257504e-06,6.545572504732577e-05,2.0631708855274285e-06,1.5318406541591759e-06,-1.7608700702864624e-07,1.0558192881213088e-05,-1.6921460892320152e-07,0.0006882567372370136,0.00011334786946736473,1.6629851987577344e-06,1.221473051593862e-06,3.1228044059883136e-06,0.00019894085030866928,3.9444215399025395e-05,1.6300679359783916e-05,7.102002873616696e-05,0.0005022629792568138,1.6130345535562128e-05,-2.7468850380091264e-07,1.175080256856071e-05,7.99496208304006e-06,6.760308507948864e-05,5.102771129160175e-05,3.520581476539411e-07,-1.9915151068340612e-08,-4.136603052060412e-06,0.00015380611162606043,2.845108072233788e-07,0.0004803945498261335,6.819153954743836e-06,0.0002762393454389127,8.1904575716427e-06,8.500545757519751e-06,-5.1420464185790306e-06,2.505829443752522e-05,0.000163195095806592,8.988466446311036e-06,0.0006449136124347741,-1.209479493509188e-05,1.4130001990055689e-06,3.531006175554792e-05,0.00016953157686376663,7.474627119676752e-06,-4.81895670229716e-06,5.084626120426997e-06,9.085589365425063e-06,-2.1392349663693379e-07,1.5743953985821166e-06,5.295220533961338e-06,0.00013925419133733267,0.0003399758186636956,0.00011691926911967798
2022-09-01,0.00033153464563593016,1.211681335466299e-05,1.809045495833747e-05,0.0040546823482984365,1.423200847309903e-07,1.2010533061618985e-05,2.2668238033421608e-06,5.469676645376486e-05,1.2470637616330829e-05,2.423420854851244e-05,1.7257137203553505e-05,4.134882236660596e-05,-4.2510398811923245e-06,5.525050770636083e-09,6.796684868233919e-07,1.954347798692476e-05,3.7087954214128095e-05,3.227575344365146e-05,7.284183207272261e-06,0.00020402138328109204,4.0510467651761405e-06,5.4609949157956914e-05,3.5967151256892383e-05,-1.2205753051847708e-06,0.00024596727035706804,5.633992800143606e-06,2.6634297692161703e-05,3.704258667899349e-05,3.0851144788080314e-06,5.590381263575983e-07,5.248498043180658e-07,0.0006735447314877883,7.752102715865601e-05,5.029067522175299e-06,2.5218350014476763e-07,2.2947357049363836e-06,4.00174350007871e-07,0.0001155637845188669,3.8260833324947095e-05,1.7004773943989478e-05,3.017152878261223e-05,1.1138911891598745e-05,6.79156652321443e-05,2.2226283845386716e-06,1.6924754271017075e-06,-2.0260706887044652e-07,1.0667383883650138e-05,-2.0023351487272073e-07,0.0007241880467061314,0.00011694068617286312,1.7358428547636807e-06,1.2155214283021784e-06,3.262105518366655e-06,0.00020408526708969832,4.048962452679624e-05,1.6459901872289058e-05,7.65820274207112e-05,0.0005109129980495438,1.7506216559476736e-05,-5.353479472591641e-07,1.270931362474571e-05,7.262506972273332e-06,7.376773992672754e-05,4.630569054442455e-05,3.0612343892521935e-07,-2.92088519651774e-08,-4.949023080781216e-06,0.00016195360789721092,4.1969512722839204e-08,0.000485142884327941,7.001038105368763e-06,0.00027163036091843194,7.253305564273143e-06,8.835913728145088e-06,-6.8227311685909625e-06,2.7752432260509865e-05,0.00017133208993235925,1.0138391308624538e-05,0.0006596989261296387,-1.5205025474470414e-05,1.3299750879198696e-06,3.447755267234499e-05,0.0001537300154019367,7.0906123764704585e-06,-6.833260740775261e-06,4.751082345479835e-06,8.66799562550147e-06,-2.874750495096426e-07,1.5282324480108765e-06,5.3598707196346635e-06,0.0001423210505005821,0.00034609985117720787,0.00011447030923823216
2022-10-01,0.00032444239355111523,1.207336841093146e-05,1.8969944640672956e-05,0.0041601357240480625,1.6394340563699515e-07,1.3082402581490667e-05,1.1283552908314877e-06,4.854830256322987e-05,1.3575761755200288e-05,2.2125012112172284e-05,1.8796509376711063e-05,4.075789220074976e-05,-5.7476175443512315e-06,8.149498381661445e-09,5.489697033402284e-07,1.5094042890472422e-05,3.731970468537758e-05,3.007997422295881e-05,8.183278106588649e-06,0.00021543805015020607,3.979863840803527e-06,5.2483646929339565e-05,3.6512249249636825e-05,-1.9233858106582594e-06,0.0002646882279987682,5.274884969432966e-06,2.928818523280158e-05,3.95449283958043e-05,2.927838292265914e-06,5.425443263487197e-07,8.530505500311419e-08,0.000691039287698453,7.475347456658741e-05,6.255080320742963e-07,1.2005619354801267e-07,2.598916503927188e-06,3.6060776204542074e-07,0.00012540713308728218,4.162466209414276e-05,1.9277413314901e-05,2.7987155415650853e-05,1.2389288921802484e-05,7.048653935807248e-05,2.419850122211746e-06,1.8891215539019357e-06,-2.2849615744374743e-07,1.0774592848926606e-05,-2.3213678333989989e-07,0.0007598134149467391,0.00012059926167209044,1.811142310159604e-06,1.2109227354850103e-06,3.445154712415648e-06,0.0002064809192424176,4.152036765341089e-05,1.6637393154453444e-05,8.237433728723119e-05,0.0005196596511233231,1.891063087661718e-05,-7.758539791804293e-07,1.3707078474489481e-05,6.461814648094535e-06,7.87083164700114e-05,4.77514556421771e-05,2.589283038521517e-07,-4.002649329296431e-08,-5.78019326964088e-06,0.00017043194751017505,-2.060659083544416e-07,0.0004917286608083239,7.173031636965114e-06,0.00026682297224333467,6.268520944630689e-06,9.189202597536071e-06,-8.543962696063574e-06,3.0480153604462154e-05,0.00017959173599767833,1.131252456539978e-05,0.0006745202939697615,-1.8379742973903454e-05,1.228326636243325e-06,3.3526734808155e-05,0.00013768995023060953,6.715954812814233e-06,-8.91031276187323e-06,4.335616784196039e-06,8.214695917451954e-06,-3.7188979549285626e-07,1.612854455342273e-06,5.402636365565437e-06,0.0001458171304763183,0.00035258577043695527,0.00011213910966597094
2022-11-01,0.00031670875294502427,1.2018535156627686e-05,1.9871428493852857e-05,0.0042662203472816716,1.8584880216400528e-07,1.4205183783450229e-05,-8.87674788329221e-07,4.217516970644957e-05,1.4687901825763706e-05,2.001584680245205e-05,2.001607827830063e-05,4.020264649796325e-05,-7.273348288108528e-06,1.1047789748443657e-08,4.0645758733097795e-07,1.0440862862027476e-05,3.763674869162587e-05,2.779255586029396e-05,9.104691922058814e-06,0.00022786773887318093,3.867182078931917e-06,5.019617788561201e-05,3.703178616990964e-05,-2.6567282323982493e-06,0.0002839176921567147,4.93914960667164e-06,3.199181929785622e-05,4.2065015266326436e-05,2.7503426147595865e-06,5.258528127031126e-07,-3.6107015713613543e-07,0.00070876883054849,7.18848281749488e-05,-3.92850499236503e-06,-1.5501092820635844e-08,2.947183743293488e-06,3.1974610488071986e-07,0.00013554272962421147,4.5054140456005665e-05,2.1593529866128826e-05,2.585426841108101e-05,1.3697063824540923e-05,7.316836675933306e-05,2.6547605567710008e-06,2.121956119453131e-06,-2.5387928695276426e-07,1.08798198350075e-05,-2.6492351942611874e-07,0.0007954685642489927,0.00012432189821815848,1.8888833115289852e-06,1.2076768577836873e-06,3.6710196975619342e-06,0.00020766055445787499,4.253650707900413e-05,1.6831422610011332e-05,8.839344542628836e-05,0.0005285027171397041,2.034351080287358e-05,-9.968940975148834e-07,1.47463916609405e-05,5.592872440248715e-06,8.179762232578291e-05,6.660264040170585e-05,2.1064817119858505e-07,-5.236881299067669e-08,-6.630282556195159e-06,0.0001792159311906035,-4.595952554440518e-07,0.0004995298664780008,7.335583579639379e-06,0.00026216928511492476,5.23671883660941e-06,9.56024303847545e-06,-1.0307839570911609e-05,3.3241783173909204e-05,0.00018797401753809656,1.251271384249913e-05,0.0006893780440121234,-2.1620033271037106e-05,1.1080512855162855e-06,3.246167808467974e-05,0.00012141307769575352,6.362599573895079e-06,-1.1050110599973605e-05,3.838226294670266e-06,7.725690674337199e-06,-4.671677852970339e-07,1.7318637479393487e-06,5.423521079384049e-06,0.00014928646480182652,0.00035874160622775895,0.00010992402507502599
